Pattern ID;Pattern Name;Description;Alias;Sub category;Category;Motivation;Solution;Consequences;Examples;Related Patterns;Resources;Link;Type;Comments
P7;Environmental Feedback Pattern [1];This feedback for the agent's performance is obtained from the objective world or virtual environment.;Environmental Reflection [2];;Reflection Pattern[1][2];Need for agents to receive feedback from their environment about their processes in order for their initialization parameters to be updated if needed (examples: task completion signals or observations after an action).;Integration of different types of observations after an action is performed by the agent.;;;;wang_survey_2024 [1], zhou_taxonomy_2024 [2];;White;
P8;Human Feedback Pattern [1];In addition to obtaining  feedback from the environment, directly interacting with humans is also a very intuitive strategy to  enhance the agent planning capability. The human  feedback is a subjective signal. It can effectively  make the agent align with the human values and  preferences, and also help to alleviate the hallucination problem.;Human Reflection [2][3][5][6], Human in Loop [4][6];;Reflection Pattern [1][2][3][5], Workflow Pattern [4], Evaluation & Quality Assurance Pattern [6];The need to ensure that human preferences are fully and correctly captured and integrated into the reasoning and planning process.;When a user prompts their goals and constraints, the agent first creates a plan consisting of a series of intermediate steps. This plan and its reasoning process logs can be presented to the user for review or sent to human experts to validate the agentic system's feasibility and usefulness.;;;;wang_survey_2024 [1], zhou_taxonomy_2024 [2], liu_agent_2024[3], mongodb_here_2025[4], horne_agentic_nodate[4], lu_towards_2024[5], mark_lane_2025[6];;Grey and White;
P9;Self Reflection Pattern [1][2][3][5];This type of feedback is usually generated based on pre-trained models. This mechanism consists of three crucial components:  output, feedback, and refinement. Firstly, the agent  generates an output. Then, it utilizes LLMs to provide feedback on the output and offers guidance on how to refine it. At last, the output is improved by the feedback and refinement. This output-feedback-refinement process iterates until reaching some desired conditions.;Model Feedback Pattern [4];;Reflection Pattern;An agent generates a plan regarding the users' goals and requirements and then decomposes the goals into a set of tasks for achieving goals. But the issue that arises is that the generated plan might be affected from hallucinations of the Foundation Model - Another question that arises is how to review the plan and reasoning steps and incorporate feedback efficiently in this process.;User prompts specific goals to the agent which then generates a plan to accomplish users' requirements. The user can instruct the agent to reflect on the plan and the corresponding reasoning process. Agent will backtrack inference process to verify the intermediate results and adjust the reasoning process accordingly. (process can be saved in agent's memory for continuous learning);;;;zhou_taxonomy_2024[1], liu_agent_2024[2],mark_lane_2025[3], wang_survey_2024[4], lu_towards_2024[5];;White;
P10;Cross Reflection Pattern [1][2][5];This type of reflection pattern uses different agents or Foundation Models to provide feedback and refinements on the plan.;Peer Review Pattern [3], Reflect & Critique Pattern [4], Evaluator Optimiser Pattern [6];;Reflection Pattern [1][2][5], Interaction Pattern [3], Workflow Pattern [4][6];When an agent has limited capability to conduct reflection with satisfying performance, the question is how can the output and the reasoning steps of this agent be evaluated. The inconsistencies of an agent's reasoning process may reduce response accuracy and the trustworthiness of the agent might be disturbed by the issue of transparency in plan generation. Lastly, an agent might not be able to perfom reflection due to its limited capability.;If an agent cannot generate accurate results or precise planning steps via reflecting its outputs, users can prompt it to query another agent which is specialised in reflection - so the latter will review and evaluate the logged outputs and relevant reasoning steps of the 1st agent and provide suggestions.;;;;zhou_taxonomy_2024[1], liu_agent_2024[2],mark_lane_2025[3], mongodb_here_2025[4], lu_towards_2024[5], grey_anthropic[6];;Grey and White;
P11;External Tools Pattern;The agents are empowered with the capability  to call external tools for executing action.;;;Tool Use Pattern;Even if LLMs have been demonstrated to be effective in accomplishing a large amount of tasks, they may not work well for the domains which need comprehensive expert  knowledge or they might also encounter  hallucination problems, which are hard to be resolved by themselves.;For these reason the foundation models might utilize external tools like API calls, databases and knowledge bases or  external models that will alleviate hallucination issues or issues that have to do with limited domain knowledge. ;;;;wang_survey_2024;;White;
P12;Internal Knowledge Pattern;In addition to utilizing  external tools, many agents rely solely on the internal knowledge of LLMs to guide their actions and decisions.;;;Tool Use Pattern;For simplicity and fast implementation, agents cannot always depend on external tools or APIs for reasoning, planning, or interaction. ;The solution is for an agentic system to utilize its internal knowledge (as they are already pretrained on large amount of data). ;;;;wang_survey_2024;;White;
P13;Single Input Modality Pattern;Single-modality agents utilize one type of input such as text, vision, or audio which makes them ideal for straightforward tasks that require less computational resources and simpler data interpretation.;;;Input Modality Pattern;Need for a straightforward task optimization of a single modality type (audio, text, vision) with less computational resources. ;Single-modality agents utilize one type of input such as text, vision, or audio that has simple data processing and interpretation processes. ;;;;zhou_taxonomy_2024;;White;
P14;Multi Input Modality Pattern;In contrast, multi-modality agents combine video/audio/image/text inputs uploaded by humans, and understand the operational and environmental context, enabling a more comprehensive and rich interaction with their environment.;;;Input Modality Pattern;From nature, single modality agents are limited in their ability to capture the richness of real world contexts. The need for agentic systems is to be able to act in multimodal environments involving language, vision, sound, and situational cues. ;Development of multi-modal agents that integrate and reason across diverse input types. By combining modalities, agents can interpret environmental signals, align perception with user commands, and respond in contextually appropriate ways.;;;;zhou_taxonomy_2024;;White;
P15;Single Model Pattern[1];Only one model is used. A single-model agent handles all tasks, which makes it suitable for simpler systems with a limited scope. This approach minimizes complexity but may not scale well for diverse tasks.;;;Model Composition Pattern;Need for simpler systems, with a simple task to perform, limited needs and also minimal complexity.;Utilization of only a single model agent for fast implementation when a small scope and simple task is needed to be performed. ;;;;zhou_taxonomy_2024[1];;White;
P16;Multi Model Pattern;Here, multiple models are used in the same agent. In more complex systems, multi-model configurations are often employed. Multiple models are used to handle different tasks or to enhance performance.;;;Model Composition Pattern;A single model often struggles to balance efficiency, specialization, and scalability across diverse tasks, because complex systems require handling varied workloads (ome demanding domain expertise, others requiring efficiency or robustness).;Adoption of a multi model configuration, where different models are integrated to perform complementary to one another functions. ;;;;zhou_taxonomy_2024;;White;
P17;Short-Term Memory Pattern [1][2][3];Short-term memory handles short-term information relevant to immediate tasks. This type of memory is useful for temporary activities that do not require long-term storage, for example, configuration, working context, recent events, and the information within the context window of the Foundation Model.;Working Memory;;Memory Type Pattern [1][2], Cognitive Pattern [3];Agents often need to access and use information that is only relevant to the current task or interaction. Storing such details in long term memory would be inefficient and unnecessary.;Implementation of a short term memory component that temporarily stores relevant to the task information within the agent�s working context. This includes configuration details, recent actions and any piece of information that fits within the Foundation Model�s context window.;;;;zhou_taxonomy_2024[1], wang_survey_2024[2], wray_applying_2025[3], mark_lane_2025;;White;
P18;Long-Term Memory Pattern;Long-term memory retains information over long periods of time, which is essential for tasks that require historical data, knowledge, past observations and experiences.;;;Memory Type Pattern;Many agent tasks require continuity and learning from past experiences.;Integration of a long term memory component that stores information such as historical data and prior observations. This allows agents to recall past events, build context across sessions, and continuously refine their behavior based on experience.;;;;zhou_taxonomy_2024;;White;
P19;Selective Forgetting Pattern;This pattern enables agents to get rid of irrelevant or outdated information, making sure that they maintain optimal performance without being burdened by unnecessary data. This capability is crucial in dynamic environments where data can be quickly considered relevant or irrelevant;;;Memory Type Pattern;In dynamic environments, agents constantly encounter new information, much of which becomes irrelevant or outdated over time. Retaining all data not only wastes resources but also clutters decision-making, slowing down responses and reducing effectiveness.;Implementation of selective forgetting mechanisms that allow agents to identify and discard irrelevant or outdated information.;;;;zhou_taxonomy_2024;;White;
P20;Natural Language Memory Pattern [1][2];Memory  information like the agents' observations and outputs are and using natural language. In that way the memory information can be expressed  in a flexible way, by keeping rich semantic information that can provide  comprehensive information able to guide agent behaviors.;;;Storage & Retrieval Pattern;Agentic AI systems need a memory format that is both flexible and semantically rich to capture experiences, observations, and behaviors. Traditional symbolic or structured representations can be rigid and may fail to preserve nuanced context.;Using natural language as the representation format for storing memory. By encoding experiences, feedback, and skills directly in raw text, agents can retain semantic richness, maintain interpretability, and flexibly adapt memory to diverse contexts.;;;;zhou_taxonomy_2024[1], wang_survey_2024[2], mark_lane_2025;;White;
P21;Memory Reflection Pattern;Memory reflection allows agents to summarize and infer high-level insights from their past experiences and interractions, making abstract and complex decision-making possible.;;;Storage & Retrieval Pattern;Need for retrieval of information from past agent interactions and responses.;Retrieval of information from past interactions in order for repetition of parameters that led to successful task completions to become apparent.;;;;;;;
P22;Embeddings Pattern [1][2];Able to transform memory information into compact embedding vectors proved to enhance the efficiency of memory retrieval processes.;;;Storage & Retrieval Pattern;Need for enhancement of retrieval and reading efficiency.;Embeddings have been proven to be an efficient way of retrival for all types of data. ;;;;zhou_taxonomy_2024[1], wang_survey_2024[2], mark_lane_2025;;White;
P23;Databases Pattern [1][2];Databases enable precise memory operations through SQL queries, providing structured and efficient data management.;;;Storage & Retrieval Pattern;Foundation models alone cannot reliably store or retrieve detailed, up to date, or domain-specific knowledge. They need access to external databases or knowledge bases.;Integrating  external databases or knowledge bases enables agents  to obtain specific domain information for generating  more realistic actions.;;;;zhou_taxonomy_2024[1], wang_survey_2024[2], mark_lane_2025;;White;
P24;Structured List Patterns;In that format information is systematically organized in lists or hierarchical structures that clearly showcase the relationships between the elements and allow fast data access and retrieval.;;;Storage & Retrieval Pattern;Need for structured representations, in this case lists, that represent hierarchical data information and relationships that enable agents to efficiently navigate the relationships between elements, improving the speed and accuracy of access and retrieval.;Organization of information in systematic structures like lists that explicitly capture relationships between elements.;;;;zhou_taxonomy_2024, mark_lane_2025;;White;
P25;Agent as a Coordinator Pattern;Here, agents in the coordinator role formulate highlevel strategies and orchestrate the execution of tasks by delegating task execution responsibilities to other agents, external tools, or non-agent systems so that tasks are delegated efficiently. ;;;Role-Based Pattern;In multi-agent or hybrid systems, someone must keep track of the bigger picture. Without a coordinating role, agents risk working at cross-purposes, duplicating efforts, or leaving gaps in execution.;Assigning agents the role of setting high-level strategies, breaking down goals, and orchestrating workflows.;;;;zhou_taxonomy_2024, lu_towards_2024;;White;
P26;Agent as a Worker Pattern;Here, agents in the worker role need to generate strategies and execute specific tasks in line with those strategies.;;;Role-Based Pattern;High-level strategies alone are not enough. Systems need agents that can actually perform concrete tasks. Without worker agents, plans remain abstract and never translate into real action.;Designing agents to focus on carrying out specific strategies or sub-tasks. Worker agents handle concrete execution, applying domain knowledge or specialized skills to achieve the objectives defined by the coordinator.;;;;zhou_taxonomy_2024, lu_towards_2024;;White;
P27;Centralized Pattern [1];Involves a central agent or system managing the coordination of all agents. This approach provides strong oversight but can become a bottleneck, particularly in large-scale system.;Centralised [2];;Coordination-Cooperation Pattern, Workflow Pattern, Architecture Pattern;When task management is fragmented across many agents, the system risks inconsistency, duplication, or conflict.;A centralized control point that ensures uniform procedures, predictable outcomes, and easier oversight, especially in environments where consistency and compliance are important.;;;;zhou_taxonomy_2024[1][2], noauthor_multi_nodate[2];;White;
P28;Federated Pattern [1];Federated coordination is managed in a decentralized manner, with each agent handling its own coordination while still communicating with others.;Decentralised [2];;Coordination-Cooperation Pattern, Workflow Pattern, Architecture Pattern;Over-reliance on a single control point can create bottlenecks and a single point of failure.;Distribution of task management responsibilities across multiple agents. Each agent executes and manages tasks semi-independently, coordinating with others as needed.;;;;zhou_taxonomy_2024[1][2], noauthor_multi_nodate[2];;White;
P29;Fully Distributed Pattern [1];This pattern involves no central coordinator, as all agents coordinate directly with each other, often using peer-to-peer communication protocols.;Network [2];;Coordination-Cooperation Pattern, Workflow Pattern, Architecture Pattern;Need of automatization of agent coordination based on the agentic system's needs. ;Adopting a non-central coordination, where agents utilize peer to peer coordination directly deciding themselves the delegation of intermediate tasks and processes. ;;;;zhou_taxonomy_2024[1][2], noauthor_multi_nodate[2];;White;
P30;Full Transparency Pattern;In this pattern, all information is openly shared among agents. This maximizes cooperation and ensures that all agents have the same level of information, which can be particularly beneficial in collaborative environments.;;Full Transparency;Communication Pattern;In collaborative multi-agent environments, uneven access to information can cause inefficiency, misalignment, or duplicated effort.;Adopting a full transparency strategy, where all relevant information is openly shared among agents. This guarantees equal access to knowledge, enabling agents to build on each other�s findings and coordinate effectively in complex tasks.;;;;zhou_taxonomy_2024;;White;
P31;Goal-Based Transparency Pattern;Information between the agents in a system is shared only if it is relevant to achieving specific goals.;;Partial Transparency;Communication Pattern;Not all types of shared information might be of importance to the agents for achieving the goal. ;Adopting a strategy where information of the intermediate steps and processes will be shared only if they are important to the final goal - avoiding overloading the agents with unneeded information.;;;;zhou_taxonomy_2024;;White;
P32;Role-Based Transparency Pattern;Information is shared based on the roles, individual tasks and responsibilities of each agent.;;Partial Transparency;Communication Pattern;The need for agents to share information with each other based on their individual roles, because this will assist with the understanding and importance of their related outputs and point of view.;Adopting a strategy of sharing each agent's roles that helps with the aknoledgement of agent importance and better inter agent response and output.  ;;;;zhou_taxonomy_2024;;White;
P33;Sensitive Data Withholding Transparency Pattern;Sensitive information is withheld to protect privacy and security. This approach is crucial in scenarios where data sensitivity is high, and privacy regulations must be strictly followed.;;Partial Transparency;Communication Pattern;The need for preserving sensitive data when dealing with sensitive types of information that should be anonymized or kept secret.;Adopting methods to protect sensitive data for security and privacy reasons.;;;;zhou_taxonomy_2024;;White;
P34;Context Aware Sharing Transparency Pattern;Information sharing is adapted based on the context and current state of the system.;;Partial Transparency;Communication Pattern;Unrestricted information sharing can overwhelm agents, while overly restrictive sharing may deprive them of critical knowledge. In dynamic environments, agents need to balance efficiency, privacy, and relevance.;Implementing context-aware sharing mechanisms where agents tailor the information they exchange based on both intrinsic context (for example their goals, history, internal state) and extrinsic context (for example user preferences, other agents� behaviors, systemic norms).;;;;zhou_taxonomy_2024;;White;
P35;Chain of Thought Pattern [1][2];The Chain of Thought (CoT) mechanism involves the agent articulating its reasoning process step-by-step, mirroring human cognitive processes. This method helps in tracing how decisions are made and identifying where errors might have occurred.;Rationale Explanation Pattern [3];;Reflection Pattern [1], Cognitive Pattern [2], Explainability & Transparency Pattern [3];Linear answers make it hard to validate decisions or learn from mistakes. Complex tasks benefit from exposing intermediate assumptions and check so errors can be spotted early and reasoning can be assisted.;Having the agent articulate its reasoning as ordered steps. Also using internals that structure a step by step decomposition and self-verification, logging intermediate states for validation and iterative improvement.;;;;zhou_taxonomy_2024[1], mark_lane_2025[2][3];;White;
P36;Tree of Thought Pattern [1][2];Tree of Thoughts (ToT) extends the reflection process by allowing agents to explore multiple reasoning pathways simultaneously. This mechanism helps agents to consider various possible outcomes before settling on a final decision, enhancing the robustness and depth of the decision-making process.;Multi-Perspective Analysis Pattern [2];;Reflection Pattern [1], Cognitive Pattern [2];Single-path reasoning can miss alternatives. For ambiguous, multi-step problems, exploring only one chain reduces robustness and final quality.;Having the agent branch into multiple candidate reasoning paths.;;;;zhou_taxonomy_2024[1], mark_lane_2025[2];;White;
P37;Passive Goal Creator Pattern;This pattern analyses users� articulated goals through the dialogue interface.;Passive Interaction Pattern [2];;Goal Creation Pattern [1], Interaction Pattern [2];The need to support users who may lack expertise in interaction with agentic systems or LLMs and assist them in clarifying their goals sufficiently. Bridging the gap between underspecified user input & actionable agent objectives.;Enabling the foundation model based agent to interpret user context and problems via dialogue interface. The LLM agent passively receives these inputs and enhances them by retrieving relevant info from memory.;;;;liu_agent_2024[1], lu_towards_2024 [2];;White;
P38;Proactive Goal Creator Pattern;Proactive goal creator anticipates users� goals by understanding human interactions and capturing the context via relevant tools.;Proactive Interaction Pattern[2];;Goal Creation Pattern [1], Interaction Pattern [2];The need to overcome the limitations of passive, text based input by enabling the agent to actively capture, interpret and enrich content from the user's environment. (incomplete, ambiguous, inaccessible user input);Enhancing agent goal determination by actively capturing multimodal contextual information - beyond info and memory. Sending the requirements to external detectors to gather real world context - so that agent captures user goals more accurately. ;;;;liu_agent_2024[1], lu_towards_2024 [2];;White;
P39;Prompt/Response Optimiser Pattern [1];For [1]: Prompt/response optimiser refines the prompts/responses according to the desired input or output content and format. For [2]: The Prompt Injection Prevention Pattern ensures that the agentic system remains faithful to its established instructions and policies even when faced with cunning user prompts crafted to circumvent rules. For [3]: The schema validator pattern ensures that the LLM�s responses follow a predefined structure or format. For [4]: The output sanitizer pattern ensures that, after producing a content- and schema-compliant response, the LLM�s final output is also cleaned  of any unwanted elements (from whitespaces to sensitive information). For [5]: The semantic validator pattern ensures that the agentic system's output not only meets structural and formatting requirements but also is logically accurate. For [7]:  The secure data validation pattern ensures that any data entering or leaving the Foundation Model based system matches predefined formats, structures, and semantic criteria.;Prompt Injection Prevention Pattern [2],  Schema Validator Pattern [3], Output Sanitizer Pattern [4][6], Semantic Validator Pattern [5], Secure Data Validation Pattern [7];;Interaction Pattern [1], Security Pattern [2], Output Validation Pattern [3][4][5], Input-Output Security Pattern [6][7];The need to help users generate effective, structured prompts and interoperable responses (especially when goal is unclear).;Having predifined templates and constraints to refine user input and system output. The templates serve as guides to the creation of well formated inputs and outputs (making sure they align with goals and serve interoperability).;;;;liu_agent_2024[1], mark_lane_2025[3,4,5,6,7];;White;
P40;Retrieval Augmented Generation Pattern (RAG) [1][2];RAG is a technique for enhancing the accuracy and reliability of agents with facts retrieved from other sources (internal or online data). The knowledge gaps where the agents are lacking in memory are filled using the parameterized knowledge generated in vector databases.;Vector Search Pattern [3];;Storage & Retrieval Pattern [1][2][3];The need to enable agents to perform accurate reasoning and generate reliable responses for domain specific and privacy sensitive tasks without requiring expensive model finetuning. ;Integration of external knowledge retrieval into the reasoning process. When faced with a domain specific task with knowledge not encoded in the model the agent retrieves relevant information from the set vector database or knowledge base. Retrieved data is passed back to the agent as part of prompt in context learning allowing the agent to incorporate external facts into its responses. Also this maintains data privacy.;;;;liu_agent_2024[1], horne_agentic_nodate[2], mark_lane_2025[3];;White;
P41;One-Shot Model Querying Pattern;The foundation model is accessed in a single instance to generate all necessary steps for the plan.;;;Prompt Pattern;For certain pressing tasks the agent should be able to conduct planning and respond in a short amount of time and also users need to pay for every interaction with commercial foundation models.;With that pattern the agent queries the foundation model once to generate a corresponding plan based on user-specified goals and constraints. In this manner the agent can devise a multi-step plan to achieve a broad goal and provide a hollisitc explanation for this plan without going into reasoning steps.;;;;liu_agent_2024;;White;
P42;Incremental Model Querying Pattern;This pattern involves accessing the Foundation Model at each step of the plan generation process.;;;Prompt Pattern;The need for the Foundation Model at each step of the plan generation process. When users interact with the agent for specific goals the included foundation model is queried for plan generation and lastly, the generated responses of the Foundation Models require detailed reasoning process to preserve explanaibility and trustworthiness. ;Having the agent engage in a step by step reasoning process to develop the plan for goal achievement with multiple queries to the foundation model. Human feedback can be provided to the generated plan and the reasoining process. It can also rely on a reusable template which guides the process.;;;;liu_agent_2024;;White;
P43;Role-Based Cooperation Pattern [1][2];This pattern design involves assigning assorted roles, and finalising decisions in accordance with the roles of agents to facilitate division of labor, fault tolerance, scalability and accountability.;;;Coordination-Cooperation Pattern;The need for the agentic AI system to have agents representing different opinions that will enfrorce objectivity in the final output.;A user submits a query to an agent, which then shares it with other agents. Each agent generates an initial response, followed by a debate among them. Responses are exchanged in a decentralized way for verification, while agents offer guidance and suggestions to collaboratively build a more complete and well-rounded answer.;;;;liu_agent_2024[1], lu_towards_2024[2];;White;
P44;Voting-Based Cooperation Pattern [1][2][3];In this pattern, agents can freely provide their opinions and reach consensus through voting-based cooperation.;;;Coordination-Cooperation Pattern;Multiple agents can be leveraged within a compound AI system - they need to colaborate on the same task while having separate perspectives. The decision making among the agents should take their rights and responsibilities into consideration (fairness). Lastly, the behaviors of agents should be recorded to enable future auditioning.;An agent can first generate a candidate response to users' prompts, then it holds a vote in which different reflective suggestions are presented as choices. Additional agents are requested to submit their votes to select the most appropriate feedback according to their capabilities and experiences. Central agent acts as coordinator - Here, agents communicate in a centralised manner.  Voting result is formalised and sent back to original agent who will refine the response accordingly.;;;;liu_agent_2024[1], horne_agentic_nodate[2], lu_towards_2024 [3];;White;
P45;Debate-Based Cooperation Pattern [1][2];Under this design pattern an agent receives feedback from other agents, and adjusts the thoughts and behaviors during the debate with other agents until a consensus is reached.;;;Coordination-Cooperation Pattern;The need for multiple agents to provide more comprehensive services and these agents need to collaborate on the task so with this architecture there will be diversity of opinions among the agents. Also this pattern tackles the lack of creativity, reasoning  and explainability in some agents.;User sends queries to an agent which will then share the questions with other agents. Given this shared question each agent generates its own initial responses and a round of debate will start between the agents. The initial respond of the agents will be propagated in a decentralised manner to each other for verification while providing instructions and potential directions to construct a more comprehensive response based on collective outcomes. ;;;;liu_agent_2024[1], : lu_towards_2024 [2];;White;
P46;Multimodal Guardrails Pattern [1][2];Guardrails can evaluate the contents either relying on predefined examples, or in a �reference-free� manner. So equivalently, when the foundation model creates results, guardrails need to ensure that the responses do not include biased or irrespective information to users, or fulfil the particular requirements of other system components. For 4. Bias Mitigation Pattern ensures your LLM-based system not only meets technical excellence but also aligns with ethical principles of fairness, inclusivity, and respect. For 5. make sure that the LLM never returns content that violates defined ethical guidelines, legal requirements, or user safety standards.;Guardrails [3], Bias Mitigation Pattern [4], Content Filter Pattern [5] ;;Governance & Ethical Application Pattern;An issue that arises is how to preserve the Foundation Model involved in the agentic system from being influenced by adversarial inputs.  Motivation here is basically safety and the need for standard alignment of the agents with specific standards and requirements.;Guardrails can be applied as an intermediate layer between the Foundation Model and the components in the compound AI system. When uders input pompts or other components send any message to the foundation model, guardrails can first verify whether the info meets requirements. ;;;;liu_agent_2024[1], horne_agentic_nodate[2], lu_towards_2024[3], mark_lane_2025[4,5];;White;
